stroke_amplitude,right_stroke_vel,right_motor_torque,right_motor_current,right_motor_voltage,right_motor_output_power,right_motor_efficiency_1,motor_efficiency,time
1.002958475,-57.37945235,-0.001921882,-1.275763088,-16.82300334,0.882212194,0.059652906,0.041105458,0.0098
0.990057485,-64.50494727,-0.001949865,-1.294189284,-17.1761099,1.006207592,0.065682089,0.045265256,0.01
0.975749714,-71.53885624,-0.001974603,-1.310505147,-17.50144653,1.130086865,0.071490245,0.049271882,0.0102
0.960055479,-78.47117721,-0.002013243,-1.334505999,-17.92030029,1.263852535,0.076584984,0.052848248,0.0104
0.942997068,-85.29205268,-0.002076991,-1.372592204,-18.5118633,1.417206286,0.080581838,0.055775235,0.0106
0.924598712,-91.99178282,-0.002158529,-1.420580797,-19.22409716,1.58853552,0.083691591,0.058168121,0.0108
0.904886543,-98.56084091,-0.002252775,-1.475564464,-20.02078452,1.776282855,0.086099781,0.060127458,0.011
0.883888566,-104.9898867,-0.002353769,-1.534137001,-20.85952512,1.976975446,0.088028193,0.061777839,0.0112
0.86163461,-111.269779,-0.002449296,-1.589316733,-21.65358631,2.180261252,0.089872357,0.063353155,0.0114
0.838156293,-117.3915892,-0.002523078,-1.631800906,-22.28745779,2.369505434,0.092120267,0.065152338,0.0116
0.81348697,-123.3466131,-0.002552056,-1.648412508,-22.59759238,2.518299898,0.095464917,0.067605087,0.0118
0.787661693,-129.1263834,-0.002513525,-1.626177528,-22.42296423,2.596499519,0.100716518,0.071207751,0.012
0.760717155,-134.7226895,-0.002499329,-1.61757815,-22.41420884,2.693730503,0.105122594,0.074296004,0.0122
0.732691706,-140.1272475,-0.00160402,-1.105209734,-16.15536379,1.798134785,0.151699653,0.100707264,0.0124
0.7036251,-145.3330271,-0.002473432,-1.600999132,-22.39419909,2.875771228,0.113503048,0.08020985,0.0126
0.673558636,-150.3323226,-0.002599772,-1.671902452,-23.36083571,3.126637781,0.112549283,0.08005312,0.0128
0.642535035,-155.118003,-0.002722561,-1.740511606,-24.29528864,3.378545359,0.111665466,0.079897054,0.013
0.610598382,-159.683266,-0.002840915,-1.80632422,-25.19120946,3.629172843,0.110863638,0.07975592,0.0132
0.57779405,-164.0216623,-0.002953997,-1.86886478,-26.04258902,3.876156081,0.110152863,0.079641461,0.0134
0.544168661,-168.1269434,-0.003061095,-1.927727157,-26.84428203,4.117220301,0.109537863,0.079562193,0.0136
0.509769997,-171.9933173,-0.003161396,-1.982452497,-27.5904974,4.349911208,0.109026177,0.079527636,0.0138
0.47464694,-175.6152887,-0.003254208,-2.032649177,-28.27628291,4.57191009,0.108622237,0.079545009,0.014
0.438849398,-178.9877096,-0.003338853,-2.077932044,-28.89677259,4.780908884,0.108330965,0.079621396,0.0142
0.40242824,-182.1057868,-0.003414678,-2.117933924,-29.44732968,4.974661234,0.108157482,0.079763681,0.0144
0.365435223,-184.9650886,-0.003481076,-2.152311635,-29.92362121,5.151019973,0.108107134,0.079978625,0.0146
0.327922913,-187.5615511,-0.003537471,-2.18074181,-30.32156636,5.307948323,0.108185965,0.080273242,0.0148
0.289944616,-189.8914839,-0.003583348,-2.202935211,-30.63751402,5.443578149,0.108400355,0.080654614,0.015
0.251554301,-191.9515756,-0.003618233,-2.21862657,-30.86811696,5.556203742,0.108757767,0.081130437,0.0152
0.212806521,-193.7388981,-0.003641711,-2.227585367,-31.0104655,5.644328777,0.109266562,0.081708956,0.0154
0.173756339,-195.2509111,-0.003653432,-2.229617132,-31.06210383,5.70668712,0.109936256,0.082399182,0.0156
0.134459246,-196.4854656,-0.003653097,-2.224558172,-31.02096453,5.74224332,0.11077809,0.083211342,0.0158
0.094971084,-197.4408068,-0.003640476,-2.21228414,-30.88547502,5.750228457,0.111805037,0.084156935,0.016
0.055347969,-198.1155768,-0.003615405,-2.192707826,-30.65453016,5.730144301,0.113032335,0.085249164,0.0162
0.015646213,-198.5087773,-0.003577792,-2.165783588,-30.3275465,5.681784135,0.114477774,0.086503244,0.0164
-0.024077773,-198.6199323,-0.003527536,-2.131464635,-29.90393554,5.605111819,0.116164445,0.087938247,0.0166
-0.063767541,-198.4488394,-0.003464722,-2.089804201,-29.38435382,5.500561161,0.11811666,0.089574678,0.0168
-0.103366689,-197.9957413,-0.003389412,-2.040846379,-28.76935235,5.368712845,0.120366187,0.091438644,0.017
-0.142818946,-197.261282,-0.003301747,-1.984680994,-28.0600562,5.210454301,0.122950997,0.093561321,0.0172
-0.182068246,-196.2465048,-0.003201943,-1.921440202,-27.25812238,5.026961395,0.125917106,0.095980441,0.0174
-0.221058817,-194.9528517,-0.003090275,-1.851288874,-26.3656205,4.819662739,0.129321381,0.098742578,0.0176
-0.259735249,-193.382161,-0.002967089,-1.774434977,-25.38516149,4.590256393,0.133234046,0.101905336,0.0178
