right_stroke_amp,left_stroke_amp,right_stroke_vel,left_stroke_vel
0,0,197.385801140358,-197.385801140358
0.0394678105132561,-0.0394678105132561,197.245562061739,-197.245562061739
0.0788795386806738,-0.0788795386806738,196.825044100579,-196.825044100579
0.118179181847414,-0.118179181847414,196.124844797798,-196.124844797798
0.157310896627400,-0.157310896627400,195.145959111460,-195.145959111460
0.196219078254759,-0.196219078254759,193.889778002976,-193.889778002976
0.234848439596204,-0.234848439596204,192.358086460593,-192.358086460593
0.273144089712063,-0.273144089712063,190.553060962997,-190.553060962997
0.311051611854332,-0.311051611854332,188.477266386617,-188.477266386617
0.348517140790926,-0.348517140790926,186.133652361026,-186.133652361026
0.385487439346237,-0.385487439346237,183.525549077630,-183.525549077630
0.421909974049254,-0.421909974049254,180.656662557585,-180.656662557585
0.457732989781741,-0.457732989781741,177.531069385681,-177.531069385681
0.492905583320407,-0.492905583320407,174.153210917661,-174.153210917661
0.527377775668558,-0.527377775668558,170.527886969221,-170.527886969221
0.561100583074469,-0.561100583074469,166.660248995644,-166.660248995644
0.594026086635535,-0.594026086635535,162.555792771771,-162.555792771771
0.626107500389324,-0.626107500389324,158.220350582710,-158.220350582710
0.657299237794749,-0.657299237794749,153.660082936366,-153.660082936366
0.687556976508922,-0.687556976508922,148.881469809586,-148.881469809586
0.716837721367612,-0.716837721367612,143.891301440346,-143.891301440346
0.745099865479846,-0.745099865479846,138.696668679075,-138.696668679075
0.772303249349808,-0.772303249349808,133.304952912805,-133.304952912805
0.798409217942060,-0.798409217942060,127.723815576492,-127.723815576492
0.823380675608962,-0.823380675608962,121.961187266395,-121.961187266395
0.847182138802268,-0.847182138802268,116.025256470981,-116.025256470981
0.869779786493985,-0.869779786493985,109.924457935381,-109.924457935381
0.891141508234850,-0.891141508234850,103.667460675917,-103.667460675917
0.911236949782139,-0.911236949782139,97.2631556617465,-97.2631556617465
0.930037556231960,-0.930037556231960,90.7206431811076,-90.7206431811076
0.947516612594763,-0.947516612594763,84.0492199101399,-84.0492199101399
0.963649281756389,-0.963649281756389,77.2583657026382,-77.2583657026382
0.978412639770728,-0.978412639770728,70.3577301195187,-70.3577301195187
0.991785708433832,-0.991785708433832,63.3571187171378,-63.3571187171378
1.00374948509320,-1.00374948509320,56.2664791139450,-56.2664791139450
1.01428696964987,-1.01428696964987,49.0958868552711,-49.0958868552711
1.02338318871496,-1.02338318871496,41.8555310963369,-41.8555310963369
1.03102521688633,-1.03102521688633,34.5557001238249,-34.5557001238249
1.03720219511510,-1.03720219511510,27.2067667365893,-27.2067667365893
1.04190534613600,-1.04190534613600,19.8191735062765,-19.8191735062765
1.04512798693952,-1.04512798693952,12.4034179388008,-12.4034179388008
1.04686553826828,-1.04686553826828,4.97003755776074,-4.97003755776074
1.04711553112394,-1.04711553112394,-2.47040506900930,2.47040506900930
