right_stroke_amp,left_stroke_amp,right_stroke_vel,left_stroke_vel,r_u,l_u
-5.539419597019008e-28,-2.9543571184101374e-27,-1.329460703284562e-23,-7.09045708418433e-23,0.0,-0.0
8.193579911110766e-07,-8.193579911151913e-07,0.01966459178666584,-0.019664591786764593,0.1999920769532241,-0.1999920769532241
3.2765072876798555e-06,-3.2765072877050657e-06,0.0589715831176507,-0.058971583118156985,0.3999366168812864,-0.3999366168812864
8.188753524692032e-06,-8.188753524811931e-06,0.11789390968829223,-0.11789390969056479,0.5997860890363428,-0.5997860890363428
1.6372066242369464e-05,-1.6372066242821977e-05,0.19639950522425842,-0.1963995052322411,0.7994929752244887,-0.7994929752244887
2.864086512014834e-05,-2.8640865121536048e-05,0.29445117306669305,-0.2944511730891377,0.9990097760809874,-0.9990097760809874
4.5807800929544926e-05,-4.580780093315638e-05,0.412006459425518,-0.4120064594788881,1.1982890173434118,-1.1982890173434118
6.868353128272614e-05,-6.868353129100618e-05,0.5490175284763492,-0.5490175285883951,1.3972832561219979,-1.3972832561219979
9.807649126191299e-05,-9.807649127910954e-05,0.7054310395004844,-0.705431039714481,1.5959450871665242,-1.5959450871665242
0.0001347926590221227,-0.00013479265905513732,0.8811880262450327,-0.8811880266246669,1.794227149129008,-1.794227149129008
0.00017963531646711357,-0.00017963531652658233,1.0762237786797813,-1.07622377931468,1.9920821308215393,-1.9920821308215393
0.00023340480510978802,-0.00023340480521141856,1.290467727424187,-1.2904677284360697,2.1894627774685445,-2.1894627774685445
0.00029689827723317086,-0.0002968982773993615,1.523843330961188,-1.52384333251063,2.386321896952797,-2.386321896952797
0.00037090944247846256,-0.0003709094427402278,1.7762679658870013,-1.7762679681807907,2.5826123660544704,-2.5826123660544704
0.00045622830999117686,-0.0004562283103904036,2.0476528203051427,-2.047652823604219,2.7782871366825526,-2.7782871366825526
0.0005536409262779808,-0.0005536409268700388,2.3379027908832968,-2.337902795511247,2.9732992420979247,-2.9732992420979247
0.0006639291089203804,-0.0006639291097771089,2.646916383417589,-2.6469163897696815,3.1676018031274107,-3.1676018031274107
0.0007878701762977993,-0.0007878701775108921,2.9745856170580547,-2.974585625610798,3.361148034368114,-3.361148034368114
0.0009262366735169239,-0.0009262366752017329,3.32079593325899,-3.32079594458018,3.5538912503813487,-3.5538912503813487
0.0010797960947041114,-0.0010797960970038891,3.685426108492499,-3.685426123251747,3.7457848718754776,-3.7457848718754776
0.0012493106018576072,-0.001249310604948206,4.068348171683897,-4.068348190663602,3.936782431876968,-3.936782431876968
0.0014355367404290241,-0.0014355367445240705,4.4694273257140065,-4.46942734982075,4.126837581888991,-4.126837581888991
0.001639225151912846,-0.0016392251572694063,4.888521875611727,-4.8885219058880605,4.315904098036864,-4.315904098036864
0.001861120283584572,-0.0018611202905093242,5.3254831601214265,-5.32548319775803,4.503935887199663,-4.503935887199663
0.002101960095622125,-0.002101960104478051,5.780155488901275,-5.780155535249445,4.690886993127329,-4.690886993127329
0.0023624757659020225,-0.002362475777115634,6.2523760867175415,-6.252376143301991,4.876711602542564,-4.876711602542564
0.0026433913926714385,-0.0026433914067405468,6.741975042465985,-6.741975110997905,5.061364051226876,-5.061364051226876
0.002945423695313636,-0.0029454237128156767,7.248775263412745,-7.248775345803116,5.244798830090065,-5.244798830090065
0.0032692817134643594,-0.0032692817350652792,7.772592435617357,-7.772592533990462,5.42697059122248,-5.42697059122248
0.003615666504856321,-0.0036156665313200357,8.313234993407079,-8.313235110114162,5.607834153929392,-5.607834153929392
0.003985270842050958,-0.0039852708742493855,8.870504092671297,-8.870504230304393,5.787344510746789,-5.787344510746789
0.00437877890828216,-0.00437877894720583,9.444193589548851,-9.44419375095468,5.965456833437935,-5.965456833437935
0.004796865992924183,-0.004796866039693433,10.034090031408553,-10.034090219702477,6.1421264789700265,-6.1421264789700265
0.00524019818671876,-0.00524019824259551,10.639972651069852,-10.639972869649853,6.317308995470274,-6.317308995470274
0.005709432077013092,-0.005709432143413201,11.261613367063958,-11.261613619624576,6.490960128160749,-6.490960128160749
0.0062052144432579465,-0.006205214521764148,11.89877678987651,-11.89877708042273,6.663035825271335,-6.663035825271335
0.006728181953469546,-0.006728182045844957,12.5512202450784,-12.551220577939423,6.83349224393012,-6.83349224393012
0.007278960861586108,-0.007278960969788305,13.21869379479749,-13.218694174640362,7.002285756030591,-7.002285756030591
0.007858166705881579,-0.007858166832077237,13.900940263091298,-13.900940694934334,7.169372954074933,-7.169372954074933
0.008466404009459702,-0.008466404156081313,14.597695285874954,-14.597695776097828,7.334710656992838,-7.334710656992838
0.009104265982549401,-0.00910426615222774,15.308687354152761,-15.308687907514265,7.498255915935131,-7.498255915935131
0.009772334227032232,-0.00977233442265433,16.03363786758794,-16.033638490238175,7.659966020041583,-7.659966020041583
0.010471178443271193,-0.010471178667997095,16.77226118973507,-16.77226188822634,7.819798502182261,-7.819798502182261
0.011201356140526109,-0.01120135639780612,17.52426473411796,-17.52426551541661,7.977711144671778,-7.977711144671778
0.011963412350322708,-0.011963412643937724,18.289349035118367,-18.289349907158474,8.133661984955813,-8.133661984955813
